"","stimtrial","imgtrial","D","Xpoints","Ypoints","XtoY","YtoX"
"1",75,76,164.122104112279,8,3,2,2
"2",75,78,133.298348802325,8,4,2,2
"3",75,79,99.6433202674802,8,6,4,4
"4",84,85,150.912594739466,6,6,5,5
"5",88,90,130.902703966854,7,7,4,4
"6",96,98,127.01965995775,8,6,4,3
"7",100,101,246.861423936441,8,4,2,2
"8",100,103,212.579614813044,8,6,2,2
"9",100,106,163.286809524321,8,8,4,5
"10",108,109,93.8027690751176,8,6,3,3
"11",108,110,65.5972455086854,8,7,5,5
"12",111,112,105.850306783162,6,8,4,3
"13",124,125,73.2071320546829,8,6,4,4
"14",126,127,151.736225899683,8,7,4,4
"15",126,129,143.37951439818,8,7,5,5
"16",126,130,86.5685934911202,8,6,5,4
"17",126,131,102.734972995836,8,5,5,4
"18",134,135,123.656060413216,7,6,4,2
